Column 1	coordinate location
Q42586063	
Q42587	44.95,10.816666666667
Q4258797	
Q42588	
Q425902	
Q42590721	
Q42590955	
Q4259143	
Q4259146	
Q42591771	
Q42592465	
Q42592563	
Q4259259	
Q425942	
Q4259456	
Q42597	45.0703901,11.13641
Q42597152	
Q425992	
Q4260004	
Q426015	
Q4260218	
Q426025	
Q426026	49.565779,3.620574
Q42603	
Q426033	
Q42603870	
Q42604	
Q4260402	19.6996,-155.99
Q4260475	
Q4260668	
Q4260703	
Q426074	
Q42609766	
Q42609815	
Q42609895	
Q426099	51.2167,4.4
Q42610046	
Q42612	45.566666666667,9.5333333333333
Q426127	
Q42613	45.533333333333,9.5166666666667
Q42614	
Q4261438	
Q4261446	3,31.2
Q42616589	
Q42617191	53.25,-4.33333
Q426175	
Q42620	31.88333333,35.2
Q4262008	
Q426201	
Q4262020	
Q42621	
Q42622	31.30401,120.61642
Q426226	41.89227778,12.46816667
Q4262263	
Q426227	50.900277777778,3.0211111111111
Q4262277	
Q42622779	
Q42623	
Q426254	-18.8333333333,169.166666667
Q4262767	
Q42629	45.558319444444,8.9476888888889
Q426293	
Q42630191	
Q4263040	
Q4263059	
Q4263351	
Q426352	
Q4263682	
Q426379	49.29,2.4672222222222
Q4263830	
Q4263842	
Q4263961	54.68916667,25.27805556
Q4264	
Q4264077	
Q42643444	
Q426449	
Q42646	51.4838,-0.60483
Q426461	
Q426488	
Q426523	
Q426538	
Q426575	
Q4265851	
Q4265855	
Q4265937	
Q4265939	
Q4266044	
Q42661374	
Q426637	51.8597702,-4.3288254
Q426640	
Q4266459	
Q4266494	
Q42665285	
Q426656	
Q426695	
Q4267021	
Q426730	
Q4267438	
Q426759	
Q42678	8.8816666666667,-12.044166666667
Q426781	
Q4267845	
Q42679632	
Q4268	37.02332,-77.36954
Q42681239	
Q426814	
Q426836	
Q426853	
Q426862	
Q426875	
Q426886	
Q4268892	
Q426890	
Q426892	
Q4269394	
Q4269655	
Q426974	48.88611111111111,2.3376111111111113
Q426982	
Q42698740	
Q426989	
Q427016	47.51389,19.08472
Q427017	
Q42703	
Q427034	41.6093,1.83832
Q427087	
Q4270926	37.1771,-3.58927
Q427123	
Q4271324	
Q427153	49.338611111111,10.790833333333
Q42716	45.433888888889,4.3897222222222
Q427163	40.41694,-3.70361
Q42717	
Q4271834	
Q4272111	
Q4272115	
Q4272137	
Q4272152	
Q4272245	
Q4272261	
Q42722842	
Q4272367	
Q42723927	
Q42724549	
Q4272498	
Q4272689	
Q427282	
Q427287	
Q427293	
Q427308	
Q4273136	
Q427318	40.421944,-3.712778
Q4273314	
Q4273323	
Q4273363	
Q4273443	
Q427347	
Q42735	47.0425,-122.89305555556
Q427360	50.161666666667,8.3176388888889
Q427390	
Q427394	
Q4273940	2.1888888888889,102.25111111111
Q42740	
Q4274203	
Q4274345	
Q42744067	
Q42744322	
Q4274522	
Q42745650	
Q427457	
Q4274684	
Q4274784	
Q4274902	
Q427496	
Q42750612	
Q427513	
Q427523	
Q42753403	52.237467,-3.373217
Q427543	
Q427554	
Q4275582	
Q427559	25.75,-80.271111111111
Q427582	52.516667,13.338889
Q42759	
Q4275949	
Q427601	
Q42760463	49.443055555556,1.1025
Q42761	
Q427611	34.16633313502179,-118.37448024145645
Q427613	
Q42762	
Q42763513	
Q427642	
Q42767	
Q42771	
Q427711	
Q42773854	
Q427745	
Q42775	
Q42776	46.0108,9.2838
Q42777	45.4009,8.9185
Q427792	51.43,-3.17
Q42780	29.875,121.54916666667
Q42780471	50.941359,6.95845
Q42782	45.57805555555556,8.918333333333333
Q42783	45.566666666667,9.1666666666667
Q4278464	
Q4278573	55.631666666667,37.023055555556
Q42786	
Q427862	
Q427870	
Q42788	45.37236,10.56648
Q427891	40.24083333,-79.23777778
Q4279216	59.941119,30.315824
Q427926	
Q4279588	
Q427968	
Q42798	-7.60793,110.20384
Q427982	36.13775,-5.3453611111111
Q4279895	
Q4279929	
Q428	
Q428008	
Q42804	
Q428042	
Q42807	43.836944444444,4.36
Q42808	45.75,9.3166666666667
Q42810	49.494166666667,0.10805555555556
Q428124	
Q428145	
Q4281486	
Q428175	
Q4281934	
Q428199	
Q42820	43.498333333333,9.0416666666667
Q4282030	
Q428223	
Q428239	
Q42824	-12.845,-55.66555555555556
Q4282505	
Q4282636	
Q42827	
Q42831	
Q4283116	
Q428315	-5,111
Q428319	
Q428322	
Q42834	
Q428342	54.7471,-2.006
Q428347	
Q428366	39.7789,-84.1231
Q428369	34.921472222222,137.52508333333
Q4283766	
Q428386	
Q4283940	55.9475552920943,-3.18655821490306
Q4284027	
Q4284198	
Q42842670	
Q42844	
Q4284591	55.2462,-4.84826
Q4284701	53.78,-2.34
Q4284716	59.88018333,29.82876667
Q42847231	51.5601889,-0.0702013
Q428476	
Q4284762	
Q42847638	
Q42847646	
Q42847651	
Q42847668	
Q42847680	
Q42847683	
Q42847698	
Q42848	
Q428486	
Q4284971	
Q42851178	
Q42851287	
Q42851300	
Q42851399	
Q42851489	51.081,1.166
Q42851523	53.8303,-1.1334
Q42852129	
Q42852374	53.4154,-2.998
Q42852394	
Q428559	41.59166667,1.83777778
