Column 1	coordinate location
Q5237706	
Q5237793	
Q5237832	
Q5237855	
Q5237922	
Q5237923	
Q5237975	
Q5238004	
Q5238032	
Q523804	
Q5238051	
Q5238095	
Q5238106	
Q52382447	
Q5238285	40.1999,-85.4102
Q52382875	
Q5238309	
Q523835	
Q523844	
Q52384550	
Q5238497	
Q5238531	
Q5238558	
Q5238629	
Q5238686	
Q5238767	
Q52388160	
Q52388722	
Q52389	
Q5238920	
Q523893	
Q5238971	
Q5239002	
Q5239061	
Q5239125	
Q5239127	
Q5239162	
Q5239199	
Q5239203	
Q5239205	
Q523923	
Q5239259	
Q523926	51.52166667,-0.13138889
Q5239433	
Q5239488	
Q523956	49.692011111111114,11.633269444444444
Q523957	
Q5239723	
Q523975	51.38652,11.86956
Q5239764	
Q5239816	
Q5239857	
Q5239881	
Q524	40.821388888889,14.425555555556
Q5240003	
Q5240008	
Q5240011	
Q5240080	
Q5240176	
Q5240254	
Q5240322	
Q524034	54.868905,8.733879
Q524036	
Q5240448	
Q5240497	
Q5240528	
Q5240604	
Q5240799	
Q5240807	
Q5240838	
Q5240861	
Q52408970	
Q52409	
Q5240990	
Q5241031	
Q5241044	
Q5241090	
Q52411	
Q5241105	
Q5241110	
Q5241174	
Q5241188	
Q524125	
Q52413	38.958055555556,-95.247777777778
Q5241309	
Q5241332	
Q52414520	
Q5241505	
Q524154	
Q5241622	
Q5241721	
Q5241730	
Q5241742	
Q52418	21.365,-157.95
Q5241827	
Q524190	
Q5241968	
Q5242015	
Q5242068	41.817222,-71.406944
Q5242114	46.7914699757,9.82073000378
Q52422	45.431,12.326
Q5242234	53.4559,-2.36825
Q52422470	
Q5242293	54.829,-1.327
Q52423	45.446,12.327
Q524236	
Q52423859	
Q5242387	50.598,-3.444
Q5242415	
Q52425	45.435694,12.3485
Q524251	41.65,-0.88333
Q524252	
Q5242527	
Q524255	
Q5242610	53.3471,-3.1581
Q5242643	
Q5242671	
Q52427	45.434,12.333
Q524272	
Q52427589	
Q5242760	
Q52428	45.437661111111,12.319208333333
Q524281	
Q5242861	
Q524289	48.866944444444,2.3544444444444
Q52429	45.438055555556,12.333055555556
Q524291	
Q5242962	
Q5243103	53,-1.138
Q5243190	
Q524324	
Q524334	48.15694444444444,11.997777777777777
Q5243446	
Q5243447	
Q5243452	
Q5243453	
Q5243454	
Q5243467	
Q52435	45.425,12.328611111111
Q524352	
Q52435800	
Q5243647	
Q524369	
Q52437	45.458333333333,12.353333333333
Q5243771	
Q5243777	
Q52438986	
Q52439	45.485555555556,12.4175
Q52440	
Q52441	45.5,12.416666666667
Q524415	
Q5244175	40.8811,-73.8865
Q5244201	
Q5244263	
Q5244298	
Q5244322	
Q524435	40.702763888889,-73.973436111111
Q5244409	
Q5244417	
Q5244423	
Q5244424	
Q5244634	52.624872222222,-1.1216277777778
Q5244675	
Q52447	
Q52447419	
Q524475	
Q5244795	
Q5244995	
Q52450553	
Q52450677	
Q524516	
Q5245210	
Q524529	
Q524534	
Q52454	41.4828,-71.3082
Q5245555	
Q5245682	
Q5245721	55.261,-2.623
Q524582	
Q5245943	51.4992,-0.129167
Q5245953	
Q5245961	
Q5246025	55.9530802483255,-3.21433770767029
Q5246046	
Q5246062	55.9531,-3.22286
Q5246077	51.89277778,-2.105
Q52463	
Q5246337	
Q5246381	
Q5246588	
Q5246595	
Q5246602	
Q5246616	
Q5246618	
Q5246621	
Q5246624	
Q5246628	
Q5246651	
Q5246655	
Q5246656	
Q5246658	
Q5246665	
Q5246672	
Q5246674	
Q5246675	
Q5246676	
Q5246771	
Q5246829	
Q52468593	
Q5246883	
Q5246898	
Q5246907	
Q5246920	
Q5246924	
Q52470	40.5725,-111.85972222222
Q52471	41.227777777778,-111.96111111111
Q524713	50.841972222222225,4.322666666666667
Q5247281	
Q524738	
Q5247412	
Q524743	
Q524748	53.898888888889,10.318888888889
Q5247488	
Q5247568	
Q524757	
Q5247596	
Q5248030	53.46,-2.16
Q524804	
Q5248149	
Q5248170	
Q5248192	
Q5248240	
Q5248262	
Q524828	40.442,-80.011
Q5248411	
Q5248561	
Q524863	
Q5248657	
Q5248841	
Q5248844	51.5463,-0.1904
Q5248905	
Q5248943	
Q5249081	
Q5249159	
Q5249162	
Q5249279	
Q5249352	
Q52493635	
Q5249449	
Q5249471	
Q5249625	
Q52497864	
Q5249798	
Q524980	
Q52498782	
Q524989	
Q5249913	
Q5249966	-33.7544,151.285
	-33.75083333333333,151.2888889
Q525	
Q5250044	52.524,-0.601
	52.5239,-0.60087
Q525005	
Q5250070	
Q525025	
Q5250441	
Q52505	45.438008,12.335639
Q525052	
Q5250564	51.3,-0.716667
Q5250576	51.2303,-0.321944
Q5250633	52.7284,-0.20205
Q5250662	39.6833,-75.4906
Q525073	
Q5251037	
Q52511	40.8,15.95
Q5251156	51.112,-1.738
Q5251161	51.603,-1.64042
Q5251250	53.8794,-0.433333
Q5251253	
Q5251279	
Q5251356	
Q5251375	
Q52517	45.434055555556,12.340861111111
Q5251786	
Q5251956	
Q525243	52.518611111111,13.341944444444
Q5252430	
Q5252573	
Q5252833	
Q5252864	
Q5252893	
Q5252903	
Q5253057	50.622,-4.733
Q52531	45.430833333333,12.334444444444
Q52531585	
Q5253161	
Q525334	52.9249,-3.94844
Q52535	-32.9575,-60.639444444444
Q5253501	
Q525358	
Q525359	
Q525365	
Q5253689	
Q525374	
Q5253762	
Q525387	
Q525394	
Q5253950	51.48722222222222,-0.25055555555555553
Q5254129	
Q525415	
Q525425	52.6,12.333333333333
Q5254252	
Q525433	
Q5254394	
Q5254404	
Q525447	
Q5254472	
Q5254533	
Q5254545	
Q5254573	30.1844444444444,31.1166666666667
Q5254592	
Q5254719	
Q5254772	
Q52547800	
Q525481	51.54615,-0.012688888888889
Q5254848	
Q525487	
Q5254891	
Q5254911	
Q5254922	
Q5254978	
Q5255023	
Q525508	53.683333333333,-1.6333333333333
Q5255269	6.66055556,100.32166667
Q5255287	
Q5255369	
Q5255430	
Q52555107	
Q52555118	
Q52555153	
Q5255639	
Q52556635	
Q52556663	53.310833333333,-5.9257
Q52557460	
Q52557514	
Q52557596	
Q52557639	
Q5255812	
Q52558155	
Q5255892	
Q525592	
Q5255929	
Q52560700	
Q525612	50.5175,8.3888888888889
Q525635	51.812455,-2.716677
Q525639	
Q525646	
Q5256461	
Q52564637	
Q52564882	
Q5256603	
Q5256614	52.01,-0.744
Q5256622	53.1876,-3.4122
Q5256625	53.125,-3.406
Q5256629	
Q52567864	
Q525700	
Q5257004	
Q5257078	
Q525710	
Q5257199	
Q5257201	
Q5257288	
Q5257299	
Q5257307	
Q525738	
Q5257425	
Q5257473	
Q5257482	
Q5257537	
Q525755	
Q5257583	
Q5257639	
Q525775	40.7955,-74.1618
Q5257751	
Q525777	
Q5257869	
Q52579	
Q5257913	
Q5257939	51.4678,-0.0902
Q52581299	
Q5258157	
Q5258259	
Q5258374	
Q525841	56.280833,-3.7525
Q5258455	
Q5258496	
Q5258514	
Q525861	
Q5258628	
Q52586379	
Q5258668	
Q5258688	
Q5258763	
Q5258868	
Q5258881	
Q525891	48.858889,2.350556
Q5258974	
Q5259129	55.8609,-4.2161
Q5259130	
Q5259309	
Q52593600	
Q5259365	
Q5259406	
Q5259416	
Q5259421	
Q5259432	
Q5259487	
Q5259644	
Q525965	
Q5259666	53.315,-0.948
Q5259689	39.744623,-104.998476
Q525970	
Q52597149	
Q525981	39.103333333333,-94.420833333333
Q5259820	51.6109,-0.43937
Q5259863	
Q5259864	
Q5259911	
Q526004	
Q5260046	
Q52600648	69.666666666667,22.5
	70.08225,29.73029
Q526010	
Q5260106	
Q5260120	
Q526016	
Q5260160	51.7594,-1.2546
Q5260163	
Q5260185	
Q5260192	
Q5260200	51.7597,-1.2584
Q5260236	
Q526024	
Q52603	35,-5.9
Q5260328	
Q5260336	52.2026,0.1192
Q526035	
Q5260355	
Q5260372	
Q5260390	52.2036,0.1201
Q5260457	
Q5260476	
Q526048	
Q5260487	
Q5260488	
Q5260501	55.788,12.5209
Q5260539	
Q5260688	
Q5260792	
Q52609280	32.231046750000004,-110.94940539999999
Q5260949	51.4865,-0.0276
Q5260953	51.4824,-0.0203
Q5261028	
Q5261043	
Q5261044	
Q5261047	
Q5261062	
Q5261065	
Q5261131	
Q5261137	
Q52612786	
Q526128	
Q5261284	
Q5261411	
Q5261424	52.906,-1.459
Q5261430	
Q5261464	52.9247,-1.48778
Q5261495	
Q5261507	52.9202,-1.4766
Q5261517	52.9202,-1.4715
Q5261524	
Q5261527	52.9211,-1.47344
Q526169	-4.9166666666667,29.683333333333
Q526170	41.221383,1.729494
Q52618	
Q5261817	
Q5261826	
Q526185	
Q5261860	
Q5261916	
Q5261952	
Q5261969	
Q5262	47.57942,7.65117
Q526206	
Q5262138	
Q5262172	
Q5262179	
Q5262193	
Q5262243	
Q5262256	
Q5262277	
Q5262310	
Q5262311	
Q5262360	
Q5262433	
Q5262475	
Q5262480	
Q5262556	51.7054,-3.2676
Q5262646	53.549,-2.0973
Q526305	
Q5263067	
Q52631	38.98,1.43
Q526310	46.16083333,6.92305556
Q5263135	50.4162,-4.1141
Q5263169	
Q5263176	
Q5263278	
Q5263315	53.0333,-3.4
Q5263319	
Q5263323	
Q5263331	
Q526334	
Q5263351	53.9629,-1.0096
Q5263352	53.0832,-1.5041
Q5263354	
Q5263356	
Q5263359	54.9477,-1.7017
Q5263369	
Q526337	52.666666666667,11.55
Q5263373	
Q5263473	
Q5263501	41.583888888888886,-93.68166666666667
Q5263540	
Q5263573	
Q526359	
Q52636	39.966666666667,4.0833333333333
Q5263652	51.3828,-0.4439
Q5263805	
Q526381	41.9064,12.4546
Q5263821	
Q5263872	
Q5263876	
Q5263889	
Q5264	
Q526416	37.02255,-7.94323
Q5264257	
Q5264271	
Q5264275	
Q5264286	
Q5264295	
Q52643	
Q5264305	
Q5264330	
Q5264340	
Q5264369	
Q5264406	
Q5264409	
Q5264432	
Q5264433	
Q526451	50.633333333333,11.166666666667
Q5264536	
Q5264686	
Q526470	
Q5264725	
Q5264747	
Q5264790	
Q5264797	
Q526492	
Q5264946	
Q5265000	
Q5265065	
Q52651	
Q5265142	
Q5265299	
Q5265313	
Q526538	
Q5265638	
Q5265747	
Q526576	58.596111111111,-3.5211111111111
Q5265854	42.4969,-83.0417
	42.49926,-83.02893
Q5265919	
