Column 1	coordinate location
Q631110	
Q6311310	
Q631135	
Q63114098	
Q63114705	
Q63116	
Q6311682	
Q63119379	
Q63119754	
Q631205	
Q631212	
Q63121753	
Q6312196	
Q631220	
Q6312219	
Q6312325	
Q631274	47.214722222222,-1.7238888888889
Q6312825	
Q631286	
Q631305	
Q6313217	
Q63133134	
Q6313342	
Q631340	51.993,-3.232
Q631349	
Q63135335	
Q631357	
Q63136614	
Q631386	22.275,114.179
Q6313996	
Q6314027	
Q6314038	
Q6314042	
Q6314050	
Q6314067	
Q6314074	
Q6314079	
Q6314081	
Q6314083	
Q6314105	
Q631415	27.216666666667,-81.866666666667
Q63141557	
Q631416	
Q6314213	
Q6314294	
Q631433	
Q63143903	
Q631444	51.0066,-2.198
Q631463	
Q6314649	
Q6314728	
Q631473	51.947222222222,-1.9561111111111
Q63148112	
Q631486	
Q631489	64.034916666667,-139.28596111111
Q631496	
Q631513	51.478,-0.19
Q631515	
Q6315297	
Q63153310	
Q631546	50.608888888889,10.813055555556
Q631548	50.9636,-2.455
Q63155318	
Q63155335	
Q63155469	
Q63155556	
Q63155922	
Q631560	
Q63156050	
Q63156078	
Q63156107	
Q63156286	
Q63156387	
Q63156485	
Q63156608	
Q63156636	
Q63156640	
Q63156781	
Q63157219	
Q63157362	
Q63157418	
Q63157450	
Q63157639	
Q63157778	
Q63158027	35.7,51.416666944444
Q63158224	
Q63158299	
Q63158500	
Q63158625	
Q63158901	
Q63158902	
Q63158971	
Q63159	
Q63159046	
Q63159169	
Q63159317	
Q63159329	
Q63159864	
Q63159944	
Q63159948	
Q63160200	
Q6316030	
Q63160577	
Q63160888	
Q6316104	
Q63161203	
Q63161264	
Q63162151	
Q631622	44.903055555556,5.7875
Q63162652	
Q63162963	
Q63163029	
Q63164	
Q63164731	
Q63164861	
Q63164921	
Q63165	
Q631668	
Q63167625	
Q63167656	48.853,2.3498
Q6316865	
Q63168906	48.85314,2.35006
Q63169252	
Q631696	
Q63170328	48.85301,2.34998
Q631709	51.56666667,4.8
	51.583333333333,4.7833333333333
Q63171242	
Q6317184	
Q6317191	
Q6317195	
Q6317200	
Q63173086	
Q631733	59.4265,18.353525
Q631752	40.866388888889,-124.08277777778
Q631753	
Q63177820	
Q63177917	
Q6317862	
Q6317871	
Q631792	
Q631795	
Q63179508	
Q6318133	
Q63182951	
Q631834	
Q63184	
Q63184397	
Q63184502	
Q63184848	
Q631849	20.714997222222,70.984358333333
Q63185030	
Q631855	
Q6318696	
Q63187345	
Q631884	
Q63188683	
Q63188808	
Q631893	
Q631899	
Q631915	37.973611111111,-122.53111111111
Q631931	
Q631944	
Q63195374	
Q63195435	
Q63195449	
Q63195541	
Q63195683	
Q63196804	
Q6319714	
Q63197968	
Q63198477	33.79042,-84.32302
Q63199	
Q632004	51.819444,5.865278
Q6320067	
Q632014	41,-77
Q6320234	
Q632027	
Q632032	
Q63204	
Q632041	61.125,10.487222
Q632058	42.896666666667,0.065
Q6320589	
Q63206	
Q632078	
Q632088	
Q63209072	
Q632104	
Q632106	52.1,-2.316
Q632112	
Q632130	
Q63214877	
Q63215620	
Q63215686	
Q63215850	
Q632173	51.2162,0.9579
Q632175	45.208611111111,5.7794444444444
Q632184	
Q63219186	
Q63220	
Q632218	
Q632219	
Q632233	
Q632235	
Q6322368	
Q632240	
Q632247	
Q632250	50.833333333333,10.433333333333
Q63226	
Q6322610	
Q63226316	
Q632269	49.770833333333,1.7519444444444
Q6322708	
Q632276	47.182222222222,0.049722222222222
Q63230595	
Q6323357	
Q6323376	
Q632350	
Q63235381	
Q632365	
Q632372	
Q63238	
Q632381	52.5217,13.3861
Q632404	
Q63241860	
Q63241909	
Q63244782	
Q63244789	
Q6324509	
Q63247317	
Q63247926	
Q63249222	
Q63249288	
Q632495	-7.4666666666667,178.68333333333
	-7.4742,178.67456
Q63253081	
Q63253507	
Q63253686	
Q63253698	
Q632537	
Q63253840	
Q63254863	
Q63255087	
Q632552	
Q63256596	
Q63256843	
Q63257186	
Q632602	31.77844,35.22863
Q632653	
Q632682	40.671306,-73.96375
Q632694	
Q632698	
Q632719	
Q6327204	34.22472222,-118.06333333
Q6327318	34.4128,-119.848
Q632743	
Q63277	
Q632771	
Q632772	
Q63283648	
Q632842	
Q63284866	
Q63285117	
Q632867	
Q632868	48.638333333333,8.0916666666667
Q63288407	
Q632891	43.263333333333335,-79.91888888888889
Q632897	
Q632908	
Q632933	
Q632961	48.6175,-1.5122
	48.3107,-1.0579
Q632988	
Q632993	55.583333333333,-2.7166666666667
Q633	
Q633072	
Q63307285	
Q63307578	
Q633149	
Q63315195	
Q633171	
Q633190	
Q633219	
Q633222	
Q63323633	48.865633,2.311486
Q63323713	
Q633252	
Q6332743	42.5517,-114.368
Q633294	56.7,-3.7333333333333
Q633316	
Q633338	
Q63335	
Q6333558	
Q63337240	40.797,-73.9577
Q633378	
Q63339903	
Q6334	
Q6334107	
Q63341202	
Q63341481	
Q63341508	
Q63341600	52.51451,13.35012
Q63341897	
Q6334229	21.3239,-157.88
Q633423	
Q633427	19.833333333333,79.35
Q63342871	
Q63343498	
Q63343769	
Q633441	
Q63344709	
Q63344712	
Q63346226	
Q63346585	
Q63346796	
Q63346805	
Q63347499	
Q63348256	
Q63348609	
Q63348670	
Q63348704	
Q63349086	51.28222,-0.75348
Q63349764	
Q63350780	
Q633519	
Q63352359	
Q63352413	
Q633530	24.1,88.25
Q633538	
Q633546	
Q6335464	32.69805556,-116.9341667
Q633552	
Q6335576	51.5759,-2.56492
Q633560	36.8297,38.015
Q63356273	
Q633573	
Q633574	
Q6335818	
Q63358381	
Q63361041	
Q633614	
Q633627	53.373,-3.184
Q63364184	
Q633674	
Q633683	
Q633685	
Q633696	
Q63372286	
Q63372431	
Q63372996	
Q633730	
Q63373352	42.34585277777778,-71.08181111111111
Q63373368	
Q63373383	
Q63373399	
Q63373434	
Q63373578	
Q633753	
Q6337596	32.875,-117.239
Q63375991	
Q633760	
Q633767	
Q633771	-9.33333333,148
Q6337803	
Q63378234	50.821161111111,4.3701638888889
Q633799	
Q633812	
Q63383285	
Q63383584	
Q63383608	
Q633839	
Q6338449	
Q63385490	
Q63385538	
Q63385651	
Q63386667	
Q63386889	50.873052777778,4.3636166666667
Q633872	
Q63389829	
Q63390112	
Q63391344	
Q63393	
Q6339485	33.966,-117.288
Q63396684	
Q63399	
Q633991	
Q634	
Q63400180	
Q634022	36.405277777778,139.33055555556
Q634054	53.28,-3.83
Q634067	
Q634099	
Q63411043	
Q63412996	
Q634186	
Q6341928	
Q634213	
Q634227	
Q634260	
Q634285	53.965419444444,-0.9787
Q634299	
Q6343	36.852558,10.323461
Q63430030	
Q63430342	
Q63430343	
Q63430344	
Q63430345	
Q63430346	
Q63430347	
Q63430348	
Q63430349	
Q63431	14.67,-61
Q634315	43.706111111111,2.1388888888889
Q6343197	
Q63433625	
Q63433867	
Q63434663	
Q63434725	
Q634350	
Q634353	
Q6343641	
Q63436503	
Q63436645	
Q63437447	
Q63438723	
Q63438747	
Q6343944	40.2076,26.2824
Q63439558	
Q63440326	
Q634405	
Q63440986	30.61637,-96.33993
Q63441162	
Q63441373	
Q63441437	
Q63441481	
Q63441795	
Q63442026	
Q63442080	
Q634421	41.37119722,2.15775
Q63442591	
Q634457	
Q634513	
Q63452	
Q634532	
Q634540	
Q634542	-23.9,-42.9
Q634551	
Q634556	
Q63455848	
Q63456673	
Q634569	
Q634574	
Q6346	39.768611111111,-86.158055555556
Q6346073	9.583333333333334,8.2925
Q63462	
Q634623	
Q63462632	
Q63463133	
Q63464105	
Q63464836	
Q63464846	
Q6346604	15.3274,38.9338
Q63468	45.1833,9.15
Q63468534	-33.866194444444,151.213
Q63468537	
Q634698	7.8833333333333,-11.183333333333
Q6347050	
Q634708	
Q634723	
Q634736	50.2,8.9833333333333
Q634759	
Q634777	
Q634794	
Q634815	
Q634816	
Q634850	
Q63485080	
Q6349017	0.215,32.55
Q634914	35.11,134.162
	35.10227,134.1602
Q634937	
Q63494277	
Q634951	51.518611111111,-0.13111111111111
Q63495479	
Q63497627	45.429,12.358
Q634983	
Q63498694	
Q634992	51.35,11.65
Q635	
Q63502	
Q635021	
Q635024	
Q63505	
Q635055	10.31666667,4.6
Q635058	42.5,22.5
Q63508375	
Q635086	54.9225,-1.44318
Q635132	
Q63514853	
Q635154	
Q635155	
Q63516141	
Q6351674	
Q6351683	
Q6351973	
Q6351976	
Q63520862	
Q6352367	
Q6352393	
Q63524048	
Q635241	
Q6352575	41.3079,-72.9306
Q6352595	
Q63526703	
Q63526707	
Q63526710	
Q63526713	
Q635299	
Q6353	
Q635303	
Q635309	
Q635312	
Q63531700	
Q635323	52.51361111111111,13.323888888888888
Q635343	
Q6353868	-37.883,145.372
Q635398	57.0862,-2.33828
Q63539947	
Q635406	
Q6354142	
Q635416	51.07885,1.1746138888889
Q635427	
Q6354282	
Q6354379	
Q635457	51.36,-2.03
Q63546531	
Q635484	
Q635495	
Q6355206	9.15,-11.96666667
Q635522	52.52793,13.37943
Q6355321	
Q635538	53.86034167,10.68499361
Q63554032	
Q63554165	
Q635547	
Q635551	
Q635553	
Q635559	
Q635642	
Q63565252	
Q63565766	
Q635658	
Q63567254	
Q63567686	
Q635683	
Q6356993	
Q635703	
Q63571483	
Q63571509	
Q635716	
Q635719	
Q635734	
Q635774	
Q635812	
Q63583284	
Q635838	51.2335,-0.2665
Q63585	
Q63586195	
Q6359055	
Q635906	
Q6359083	
Q635926	
Q6359432	
Q635954	
Q6359592	
Q635980	
Q635999	
Q636	
Q636006	
Q636007	45.53333333,9.93333333
Q636009	
Q636082	
Q6360837	34.834583333333335,138.12694444444443
Q636088	47.507806,19.048417
Q63609	
Q636112	
Q636113	
Q636119	
Q63612	
Q636122	41.0591,-74.1459
Q63615050	
Q63615464	
Q636181	
Q6361840	
Q636188	35.593055555556,51.448888888889
Q636194	60.604722222222,15.630833333333
Q636199	
Q636203	
Q636207	
Q636209	-12.554580555556,28.260419444444
Q636214	
Q63622	
Q636222	
Q6362275	
Q636232	
Q6362821	
Q6362863	32.16667,76.5
Q636299	43.105555555556,6.0233333333333
Q636309	
Q636334	
Q6363475	
Q6363478	
Q636356	
Q636358	39.9815,-75.1224
Q636365	
Q63637740	51.514239,-0.088588
Q63638576	
Q6363888	
Q636389	51.46666667,11.96666667
Q63639	
Q636400	51.75556,-1.26056
Q6364172	
Q63641962	
Q6364632	
Q6364655	39.0463,-94.5831
Q636497	
Q6364985	
Q6364992	39.056555555555555,-95.77575
Q636520	33.358333,35.588889
Q63653	
Q6365402	
Q6365428	61.124,10.49
Q636557	
Q63659583	
Q636614	51.550833,-0.140833
Q6366252	
Q636627	52.969,-2.6827
Q636638	40.074,20.141
Q6366686	21.2692,-157.819
Q636680	
Q6366828	
Q636685	
Q636714	20.03,-75.3914
Q636724	
Q63676514	
Q636771	
Q63677188	
Q636772	36.283333333333,6.6166666666667
	36.365,6.6147222222222
Q6368	
Q636806	
Q63681484	
Q6368276	
Q636830	
Q636842	
Q6368582	-37.923888888889,175.53916666667
Q636873	
Q63690	
Q636910	48.181388888889,16.258055555556
Q636926	
Q6369402	
Q636942	40.7547212,-73.9849632
Q636947	
Q63696267	
Q636977	
Q6369889	
Q63698922	
Q636993	48.830277777778,2.1772222222222
Q637033	
Q637038	37.643416666667,21.629388888889
Q63704234	
Q637048	
Q6370654	
Q63709	
Q6370952	
Q6371102	-45.635,170.653
Q6371711	
Q637175	62.708333333333,40.296666666667
Q637178	
Q637180	
Q637185	51.3775,-2.3564
Q6371867	
Q637187	37.98916666666667,23.732222222222223
Q6372	
Q637200	
Q6372351	
Q637237	43.776222,11.26225
	43.776646,11.261259
Q637238	
Q6372388	
Q63724544	
Q63724652	
Q637248	40.853377777778,14.250486111111
Q63725756	53.215666,8.931745
Q63725953	53.223821,8.933385
Q6372703	
Q637271	
Q637284	
Q637298	50.903,-3.488
Q6373	51.519489,-0.127022
Q637321	
Q6373360	
Q63734	
Q637345	
Q6373510	32.08,75.01
Q63736874	
Q637374	
Q637383	
Q637389	36.09553,-115.17569
Q637391	
Q637399	
Q637405	
Q637429	50.681388888889,10.790555555556
Q63743414	
Q637440	
Q637460	50.264167,-5.051111
Q6374804	
Q637482	51.3691,-0.365
Q63751	40.740111111111,-73.997805555556
Q63751162	
Q6375292	-32.491,26.671
Q6375324	
Q6375408	
Q6375433	
Q6375455	
Q6375475	
Q6375498	
Q63755505	
Q6375568	
Q6375574	
Q6375575	
Q637559	50.526138888889,11.192277777778
Q6375596	
Q6375719	
Q6375732	
Q6375755	
Q63758	
Q637582	53.4425,-2.2186
Q6375826	
Q6375846	
Q63759	
Q6376101	
Q6376183	
Q63761869	
Q6376197	
Q63762080	
Q6376230	
Q6376239	
Q6376320	51.116666666667,-2.8666666666667
Q6376511	
Q6376601	
Q6376657	
Q63766897	
Q63767	32.823058333333,35.0239
	32.86667,35.05
Q6376733	
