Column1	coordinatelocation
Q756263	
Q756268	56.124,-3.9481
Q756271	
Q7562781	
Q7562894	
Q75629504	
Q756299	
Q7563002	
Q7563006	
Q7563070	
Q75630874	
Q7563095	
Q756314	
Q7563177	
Q756329	
Q756355	
Q7563655	
Q75636717	
Q7563726	
Q756377	
Q7563774	55.3117,10.4139
Q7563973	
Q7564	-8.565,116.351
Q756420	
Q7564263	
Q7564271	
Q756442	
Q756449	
Q7564491	
Q7564603	
Q756467	
Q7564741	
Q7564770	56.3217,-6.385
Q75648727	
Q7564948	
Q7565	
Q75650305	
Q756504	
Q7565258	54.9705,-1.36409
Q7565272	51.5514,0.110556
Q7565448	
Q75655	
Q7565536	
Q7565577	
Q7565630	
Q7565676	
Q7565777	
Q756581	50.120455065226,12.35181521379
Q7565810	-34.9215,138.599
Q756583	45.128055555556,25.738333333333
Q7565967	
Q7566	
Q7566013	51.403,-0.671
Q7566134	
Q756617	56,10
	72,-40
	61.97,-6.8444444444444
Q7566235	
Q75662589	
Q7566322	51.4867,-0.0583333
Q7566401	55.9487,-3.18683
Q756651	
Q7566627	
Q7566773	34.3,-96.6
Q7566821	54.6507,-1.6645
Q7566836	
Q7566929	51.3532,-0.0962
Q7566932	51.3629,-0.0937
Q7567046	
Q7567054	
Q7567057	50.5471,-4.1442
Q7567079	50.827,-0.778
Q7567087	
Q7567153	
Q7567157	
Q756716	
Q7567372	50.8865,-1.772
Q7567374	55.006,-1.608
Q7567400	51.5431,-0.04743
Q7567409	51.258,-1.112
Q7567474	51.394,-0.75
Q7567511	53.6,-0.5
Q7567519	54.9041,-1.44784
Q7567538	
Q756769	
Q7567809	
Q7567851	51.431951,-0.102987
Q7567852	
Q7567868	52.7357,0.3934
Q7567894	
Q7567952	52.1,-0.8
Q7567974	51.5136,-0.147778
Q7567980	
Q7568136	50.7783,-1.0761
Q756816	43.714715,4.776315
Q756817	
Q756819	51.5114,-0.119
Q7568195	54.87,-1.58
Q756820	
Q7568202	53.621,-1.741
Q7568228	53.7955,-3.0593
Q756824	37.975616666667,23.721391666667
Q756830	53.28,-3.82556
	53.279938,-3.8258523
Q7568353	51.5574,-0.39304
Q7568393	
Q7568410	10.977777777778,92.221666666667
Q7568416	
Q7568435	53.791,-3.058
Q7568533	
Q7568536	
Q756861	
Q7568653	51.4566,-0.190565
Q7568688	54.84,-2.474
Q75687	
Q7568723	22.600555555556,113.99472222222
Q7568758	42.7089,-78.5781
Q7568766	
Q7568773	
Q7568774	
Q7568798	-32.9569,151.694
Q756882	37.8814,25.6519
Q7568915	
Q7569	
Q7569001	
Q7569003	
Q7569004	
Q7569005	
Q7569007	
Q7569049	
Q756905	
Q7569073	
Q756910	
Q7569100	
Q7569107	50.9085,-1.4065
Q7569115	
Q756914	
Q7569155	51.5197,-0.122222
