Column 1	coordinate location
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42586063	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42587	44.95,10.816666666667
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4258797	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42588	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q425902	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42590721	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42590955	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4259143	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4259146	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42591771	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42592465	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42592563	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4259259	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q425942	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4259456	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42597	45.0703901,11.13641
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42597152	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q425992	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4260004	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q426015	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4260218	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q426025	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q426026	49.565779,3.620574
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42603	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q426033	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42603870	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42604	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4260402	19.6996,-155.99
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4260475	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4260668	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q4260703	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q426074	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42609766	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42609815	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42609895	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q426099	51.2167,4.4
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q42610046	
