Column1	coordinatelocation
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756263	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756268	56.124,-3.9481
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756271	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7562781	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7562894	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q75629504	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756299	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7563002	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7563006	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7563070	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q75630874	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7563095	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756314	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7563177	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756329	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756355	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7563655	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q75636717	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7563726	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756377	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7563774	55.3117,10.4139
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7563973	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7564	-8.565,116.351
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756420	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7564263	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7564271	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756442	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756449	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7564491	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7564603	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q756467	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7564741	
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q7564770	56.3217,-6.385
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q75648727	
